slug,name,photo,position
bagwell,Jeff Bagwell,12182752,First Baseman
bonds,Barry Bonds,12182746,Leftfielder
clemens,Roger Clemens,12182756,Pitcher
guerrero,Vladimir Guerrero,12182744,Rightfielder
hoffman,Trevor Hoffman,12182753,Pitcher
kent,Jeff Kent,12182748,"Second Baseman, Third Baseman and First Baseman"
martinez,Edgar Martinez,12182747,Designated Hitter and Third Baseman
mussina,Mike Mussina,12182755,Pitcher
raines,Tim Raines,12182749,Leftfielder
ramirez,Manny Ramirez,12182745,Outfielder
rodriguez,Ivan Rodriguez,12182754,Catcher
schilling,Curt Schilling,12182757,Pitcher
sheffield,Gary Sheffield,12182739,"Rightfielder, Third Baseman and Shortstop"
smith,Lee Smith,12182743,Pitcher
sosa,Sammy Sosa,12182758,Rightfielder
